time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes:mean,jvm:non-heap-bytes:mean,jvm:direct-bytes:mean,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics:name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics:name=TotalFetchRequestsPerSec
13100.0,12.0,1245.0,2.95646872E8,3.01177368E8,8.33912634E8,7.00854798E8,0.6091645421113192,27.0,139919.0,5381.5,7.63363328E8,1428.0
13200.0,12.0,1245.0,3.4878136E8,3.01177368E8,8.33912634E8,7.54776683E8,0.6301055426783987,28.0,150684.0,5381.571428571428,7.63363328E8,1528.0
13300.0,13.0,1245.0,2.44243504E8,3.01177368E8,8.40540838E8,7.54776683E8,0.6294115002472689,28.0,150684.0,5381.571428571428,8.15792128E8,1528.0
13400.0,13.0,1247.0,2.36455832E8,3.01177368E8,8.40540838E8,7.54776683E8,0.6277604645427437,28.0,150684.0,5381.571428571428,8.15792128E8,1528.0
13500.0,13.0,1247.0,2.47754688E8,3.00917528E8,8.40540838E8,7.54776683E8,0.6487115246957766,29.0,150684.0,5381.571428571428,8.15792128E8,1528.0
13600.0,13.0,1247.0,3.01782008E8,3.00938992E8,8.40540838E8,7.54776683E8,0.6474514969525128,29.0,150684.0,5381.571428571428,8.1788928E8,1530.0
13700.0,13.0,1313.0,2.8823608E8,3.00941776E8,8.40543715E8,8.08678532E8,0.6673043130102098,30.0,161445.0,5381.5,8.7031808E8,1630.0
13800.0,14.0,1313.0,2.47892544E8,3.0095176E8,8.40543715E8,8.08678532E8,0.6669037880135159,30.0,161445.0,5381.5,8.7031808E8,1630.0
13900.0,14.0,1318.0,2.33579824E8,3.00955216E8,8.40543715E8,8.08678532E8,0.6654393008451079,30.0,161445.0,5381.5,8.7031808E8,1630.0
14000.0,14.0,1318.0,2.47799032E8,3.00955216E8,8.40543715E8,8.08678532E8,0.685886231387039,31.0,161445.0,5381.5,8.7031808E8,1630.0
14100.0,14.0,1381.0,2.41017016E8,3.00958416E8,8.40543715E8,8.08678532E8,0.6836325144444935,31.0,161445.0,5381.5,8.72415232E8,1632.0
14200.0,14.0,1381.0,2.94118616E8,3.00971712E8,8.40546025E8,8.62600417E8,0.704163365900889,32.0,172210.0,5381.5625,8.72415232E8,1732.0
14300.0,15.0,1384.0,2.5505296E8,3.00979968E8,8.40546025E8,8.62600417E8,0.725497955414853,33.0,172210.0,5381.5625,9.24844032E8,1734.0
14400.0,15.0,1384.0,3.06047528E8,3.00997536E8,8.40546025E8,8.62600417E8,0.7239382239382239,33.0,172210.0,5381.5625,9.26941184E8,1734.0
14500.0,15.0,1384.0,2.89299192E8,3.0098416E8,8.40550649E8,9.16522348E8,0.744243061027931,34.0,182975.0,5381.617647058823,9.79369984E8,1834.0
