time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes,jvm:non-heap-bytes,jvm:direct-bytes,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics-name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics-name=TotalFetchRequestsPerSec
10200.0,17.0,1235.0,4.44882424E8,3.22084944E8,8.37393433E8,7.05938589E8,1.1855071747882142,48.0,140934.0,2936.125,1.361051648E9,2548.0
10300.0,17.0,1235.0,4.66171E8,3.22086208E8,8.37393433E8,7.05938589E8,1.2071344107213244,49.0,140934.0,2936.125,1.362100224E9,2551.0
10400.0,17.0,1300.0,4.8055164E8,3.21819328E8,8.37395687E8,7.34524952E8,1.2248597535582177,50.0,146641.0,2932.82,1.414529024E9,2651.0
10500.0,17.0,1300.0,4.8000708E8,3.21952112E8,8.37395687E8,7.34524952E8,1.2248297486649355,50.0,146641.0,2932.82,1.414529024E9,2651.0
10600.0,18.0,1300.0,3.79054592E8,3.2195448E8,8.37395687E8,7.34524952E8,1.2465780211184982,51.0,146641.0,2932.82,1.414529024E9,2651.0
10700.0,18.0,1300.0,3.78526112E8,3.21970144E8,8.37395687E8,7.7416618E8,1.2685711497645824,52.0,154555.0,2972.2115384615386,1.416626176E9,2658.0
10800.0,18.0,1302.0,4.47476456E8,3.21970144E8,8.37397941E8,7.7416618E8,1.2897573796023654,53.0,154555.0,2972.2115384615386,1.469054976E9,2755.0
10900.0,18.0,1302.0,4.8026704E8,3.219802E8,8.37397941E8,8.11302908E8,1.3101390203071548,54.0,161969.0,2999.425925925926,1.523580928E9,2859.0
11000.0,18.0,1374.0,4.842248E8,3.219802E8,8.37397941E8,8.11302908E8,1.3063357282821684,54.0,161969.0,2999.425925925926,1.523580928E9,2859.0
11100.0,18.0,1374.0,4.8468972E8,3.219802E8,8.37397941E8,8.11302908E8,1.3049782503624938,54.0,161969.0,2999.425925925926,1.523580928E9,2859.0
11200.0,19.0,1374.0,2.75626712E8,3.2200116E8,8.37397941E8,8.53879408E8,1.325556733828208,55.0,170469.0,3099.4363636363637,1.52567808E9,2863.0
11300.0,19.0,1377.0,3.23275208E8,3.22011648E8,8.37397941E8,8.55953134E8,1.3696984260482998,57.0,170883.0,3051.4821428571427,1.57810688E9,2963.0
11400.0,19.0,1377.0,3.71198408E8,3.2201472E8,8.37397941E8,8.90580351E8,1.389620968901241,58.0,177796.0,3065.448275862069,1.632632832E9,3067.0
11500.0,19.0,1377.0,3.77941096E8,3.22013184E8,8.37397941E8,8.90580351E8,1.411415721735802,59.0,177796.0,3065.448275862069,1.632632832E9,3067.0
11600.0,19.0,1377.0,4.4253812E8,3.2202688E8,8.37397941E8,9.32721096E8,1.4310246136233544,60.0,186209.0,3103.483333333333,1.687158784E9,3171.0
11700.0,19.0,1377.0,4.29754112E8,3.22023232E8,8.37397941E8,9.32721096E8,1.4524847012881872,61.0,186209.0,3103.483333333333,1.689255936E9,3175.0
11800.0,19.0,1443.0,4.818088E8,3.2202748E8,8.37397941E8,9.67348365E8,1.4704487240299782,62.0,193122.0,3114.8709677419356,1.741684736E9,3275.0
11900.0,20.0,1443.0,3.76179528E8,3.2202868E8,8.37397941E8,9.67348365E8,1.469542545626926,62.0,193122.0,3114.8709677419356,1.741684736E9,3275.0
12000.0,20.0,1443.0,4.40649208E8,3.22063856E8,8.37397941E8,9.67348365E8,1.489467338109086,63.0,193122.0,3114.8709677419356,1.743781888E9,3279.0
12100.0,20.0,1443.0,4.4199068E8,3.22079136E8,8.53770175E8,1.006989657E9,1.5098256623180542,64.0,201036.0,3141.1875,1.796210688E9,3379.0
12200.0,20.0,1446.0,4.41948112E8,3.22079904E8,8.53770175E8,1.006989657E9,1.5062367615909624,64.0,201036.0,3141.1875,1.796210688E9,3379.0
12300.0,20.0,1446.0,4.32096648E8,3.22085176E8,8.53770175E8,1.044126412E9,1.5494776382204485,66.0,208450.0,3158.3333333333335,1.79830784E9,3483.0
12400.0,20.0,1518.0,4.9378392E8,3.22121024E8,8.53770175E8,1.044126412E9,1.544293134915064,66.0,208450.0,3158.3333333333335,1.85073664E9,3483.0
12500.0,21.0,1518.0,2.64739328E8,3.22139672E8,8.53770175E8,1.044126412E9,1.54238040709495,66.0,208450.0,3158.3333333333335,1.85073664E9,3483.0
12600.0,21.0,1518.0,3.27735016E8,3.22165992E8,8.53770175E8,1.079189416E9,1.5620992749061575,67.0,215450.0,3215.6716417910447,1.852833792E9,3487.0
12700.0,21.0,1520.0,3.34367136E8,3.22250912E8,8.53770175E8,1.081263142E9,1.6048750988510025,69.0,215864.0,3174.470588235294,1.905262592E9,3587.0
12800.0,21.0,1520.0,3.7961624E8,3.22255464E8,8.53770175E8,1.11589537E9,1.6233013311070914,70.0,222778.0,3182.542857142857,1.959788544E9,3691.0
12900.0,21.0,1520.0,4.29572496E8,3.22259432E8,8.53770175E8,1.11589537E9,1.6437848725487927,71.0,222778.0,3182.542857142857,1.961885696E9,3695.0
13000.0,21.0,1588.0,4.28696736E8,3.22259432E8,8.53770175E8,1.155531587E9,1.6601720122668266,72.0,230691.0,3204.0416666666665,2.014314496E9,3795.0
13100.0,22.0,1588.0,3.87462896E8,3.22260328E8,8.53770175E8,1.193099087E9,1.6785081970982503,73.0,238191.0,3262.890410958904,2.016411648E9,3799.0
13200.0,22.0,1591.0,3.92314008E8,3.22260328E8,8.53770175E8,1.195172814E9,1.7199862401100792,75.0,238605.0,3224.391891891892,2.068840448E9,3899.0
13300.0,22.0,1591.0,4.25681968E8,3.22261736E8,8.53770175E8,1.229800031E9,1.7380963271280245,76.0,245518.0,3230.5,2.1233664E9,4003.0
13400.0,22.0,1591.0,4.40685088E8,3.2224676E8,8.53770175E8,1.229800031E9,1.7582718699335511,77.0,245518.0,3230.5,2.1233664E9,4003.0
13500.0,22.0,1591.0,4.94457208E8,3.22296E8,8.58547345E8,1.271945757E9,1.7758754155093122,78.0,253932.0,3255.5384615384614,2.177892352E9,4107.0
13600.0,22.0,1591.0,5.46484776E8,3.22310328E8,8.58547345E8,1.271945757E9,1.7958626960672879,79.0,253932.0,3255.5384615384614,2.179989504E9,4111.0
13700.0,22.0,1591.0,5.37355064E8,3.22318704E8,8.58547345E8,1.311581974E9,1.8113480958203143,80.0,261845.0,3273.0625,2.232418304E9,4211.0
13800.0,22.0,1591.0,5.5899792E8,3.22320944E8,8.58547345E8,1.311581974E9,1.8108150931438012,80.0,261845.0,3273.0625,2.232418304E9,4211.0
13900.0,22.0,1591.0,5.99606704E8,3.22321712E8,8.58547345E8,1.311581974E9,1.82823609073468,81.0,261845.0,3273.0625,2.234515456E9,4215.0
14000.0,22.0,1658.0,5.91068368E8,3.22321712E8,8.58547345E8,1.333686691E9,1.8421170867592216,82.0,266258.0,3247.048780487805,2.286944256E9,4315.0
14100.0,23.0,1658.0,4.32177288E8,3.22321712E8,8.58547345E8,1.333686691E9,1.8606527977044478,83.0,266258.0,3247.048780487805,2.286944256E9,4315.0
14200.0,23.0,1658.0,4.88179288E8,3.22325936E8,8.58547345E8,1.373327917E9,1.8777243768861072,84.0,274172.0,3263.9523809523807,2.341470208E9,4419.0
14300.0,23.0,1660.0,5.05540752E8,3.22333744E8,8.58547345E8,1.373327917E9,1.8974484898542314,85.0,274172.0,3263.9523809523807,2.34356736E9,4423.0
14400.0,23.0,1660.0,5.49694864E8,3.22343704E8,8.58549599E8,1.412969143E9,1.9140885822390385,86.0,282086.0,3280.0697674418607,2.39599616E9,4523.0
14500.0,23.0,1660.0,5.77926088E8,3.22346136E8,8.58549599E8,1.412969143E9,1.9336770981507825,87.0,282086.0,3280.0697674418607,2.398093312E9,4527.0
14600.0,23.0,1660.0,5.95405512E8,3.22362648E8,8.58549599E8,1.452610369E9,1.9510032147212062,88.0,290000.0,3295.4545454545455,2.450522112E9,4627.0
14700.0,23.0,1660.0,6.3644632E8,3.223702E8,8.58549599E8,1.452610369E9,1.9694186895620809,89.0,290000.0,3295.4545454545455,2.452619264E9,4631.0
14800.0,23.0,1660.0,6.53594072E8,3.22371032E8,8.58549599E8,1.492251595E9,1.9854839065498908,90.0,297914.0,3310.1555555555556,2.505048064E9,4731.0
14900.0,23.0,1660.0,6.64552896E8,3.22376336E8,8.58549599E8,1.492251595E9,2.0026408450704225,91.0,297914.0,3310.1555555555556,2.505048064E9,4731.0
